Tanggal,Harga
2023-03-28,12580.0
2023-03-29,12580.0
2023-03-30,12580.0
2023-03-31,12600.0
2023-04-01,12630.0
2023-04-02,12630.0
2023-04-03,12620.0
2023-04-04,12640.0
2023-04-05,12580.0
2023-04-06,12660.0
2023-04-07,12650.0
2023-04-08,12680.0
2023-04-09,12660.0
2023-04-10,12600.0
2023-04-11,12570.0
2023-04-12,12530.0
2023-04-13,12540.0
2023-04-14,12580.0
2023-04-15,12640.0
2023-04-16,12610.0
2023-04-17,12650.0
2023-04-18,12600.0
2023-04-19,12630.0
2023-04-20,12590.0
2023-04-21,12670.0
2023-04-22,12650.0
2023-04-23,12620.0
2023-04-24,12660.0
2023-04-25,12700.0
2023-04-26,12680.0
2023-04-27,12670.0
2023-04-28,12630.0
2023-04-29,12670.0
2023-04-30,12670.0
2023-05-01,12650.0
2023-05-02,12660.0
2023-05-03,12630.0
2023-05-04,12660.0
2023-05-05,12640.0
2023-05-06,12600.0
2023-05-07,12610.0
2023-05-08,12630.0
2023-05-09,12640.0
2023-05-10,12640.0
2023-05-11,12640.0
2023-05-12,12630.0
2023-05-13,12620.0
2023-05-14,12610.0
2023-05-15,12600.0
2023-05-16,12620.0
2023-05-17,12630.0
2023-05-18,12630.0
2023-05-19,12570.0
2023-05-20,12580.0
2023-05-21,12620.0
2023-05-22,12560.0
2023-05-23,12570.0
2023-05-24,12550.0
2023-05-25,12530.0
2023-05-26,12570.0
2023-05-27,12560.0
2023-05-28,12570.0
2023-05-29,12530.0
2023-05-30,12550.0
2023-05-31,12500.0
2023-06-01,12530.0
2023-06-02,12480.0
2023-06-03,12520.0
2023-06-04,12510.0
2023-06-05,12510.0
2023-06-06,12540.0
2023-06-07,12540.0
2023-06-08,12530.0
2023-06-09,12530.0
2023-06-10,12540.0
2023-06-11,12540.0
2023-06-12,12530.0
2023-06-13,12540.0
2023-06-14,12540.0
2023-06-15,12590.0
2023-06-16,12570.0
2023-06-17,12520.0
2023-06-18,12540.0
2023-06-19,12520.0
2023-06-20,12550.0
2023-06-21,12520.0
2023-06-22,12530.0
2023-06-23,12560.0
2023-06-24,12550.0
2023-06-25,12520.0
2023-06-26,12550.0
2023-06-27,12590.0
2023-06-28,12530.0
2023-06-29,12520.0
2023-06-30,12510.0
2023-07-01,12470.0
2023-07-02,12540.0
2023-07-03,12530.0
2023-07-04,12540.0
2023-07-05,12530.0
2023-07-06,12530.0
2023-07-07,12510.0
2023-07-08,12520.0
2023-07-09,12560.0
2023-07-10,12540.0
2023-07-11,12600.0
2023-07-12,12520.0
2023-07-13,12520.0
2023-07-14,12520.0
2023-07-15,12520.0
2023-07-16,12490.0
2023-07-17,12530.0
2023-07-18,12530.0
2023-07-19,12540.0
2023-07-20,12520.0
2023-07-21,12500.0
2023-07-22,12500.0
2023-07-23,12520.0
2023-07-24,12500.0
2023-07-25,12490.0
2023-07-26,12520.0
2023-07-27,12500.0
2023-07-28,12520.0
2023-07-29,12520.0
2023-07-30,12520.0
2023-07-31,12530.0
2023-08-01,12500.0
2023-08-02,12490.0
2023-08-03,12520.0
2023-08-04,12560.0
2023-08-05,12600.0
2023-08-06,12580.0
2023-08-07,12560.0
2023-08-08,12620.0
2023-08-09,12610.0
2023-08-10,12580.0
2023-08-11,12570.0
2023-08-12,12630.0
2023-08-13,12680.0
2023-08-14,12600.0
2023-08-15,12540.0
2023-08-16,12550.0
2023-08-17,12550.0
2023-08-18,12670.0
2023-08-19,12610.0
2023-08-20,12660.0
2023-08-21,12730.0
2023-08-22,12760.0
2023-08-23,12790.0
2023-08-24,12780.0
2023-08-25,12790.0
2023-08-26,12740.0
2023-08-27,12800.0
2023-08-28,12820.0
2023-08-29,12830.0
2023-08-30,12920.0
2023-08-31,12950.0
2023-09-01,13120.0
2023-09-02,13100.0
2023-09-03,13210.0
2023-09-04,13310.0
2023-09-05,13420.0
2023-09-06,13420.0
2023-09-07,13630.0
2023-09-08,13800.0
2023-09-09,13810.0
2023-09-10,13870.0
2023-09-11,13890.0
2023-09-12,13910.0
2023-09-13,13940.0
2023-09-14,13940.0
2023-09-15,13870.0
2023-09-16,13940.0
2023-09-17,13950.0
2023-09-18,13990.0
2023-09-19,13970.0
2023-09-20,13980.0
2023-09-21,14030.0
2023-09-22,14120.0
2023-09-23,14010.0
2023-09-24,14040.0
2023-09-25,14060.0
2023-09-26,14080.0
2023-09-27,14080.0
2023-09-28,14080.0
2023-09-29,14060.0
2023-09-30,14060.0
2023-10-01,14080.0
2023-10-02,14080.0
2023-10-03,14020.0
2023-10-04,14120.0
2023-10-05,14060.0
2023-10-06,14100.0
2023-10-07,14120.0
2023-10-08,14120.0
2023-10-09,14090.0
2023-10-10,14120.0
2023-10-11,14100.0
2023-10-12,14100.0
2023-10-13,14100.0
2023-10-14,14030.0
2023-10-15,14150.0
2023-10-16,14130.0
2023-10-17,14100.0
2023-10-18,14200.0
2023-10-19,14170.0
2023-10-20,14190.0
2023-10-21,14160.0
2023-10-22,14140.0
2023-10-23,14130.0
2023-10-24,14160.0
2023-10-25,14140.0
2023-10-26,14110.0
2023-10-27,14200.0
2023-10-28,14160.0
2023-10-29,14170.0
2023-10-30,14150.0
2023-10-31,14170.0
2023-11-01,14090.0
2023-11-02,14100.0
2023-11-03,14100.0
2023-11-04,14090.0
2023-11-05,14120.0
2023-11-06,14080.0
2023-11-07,14090.0
2023-11-08,14070.0
2023-11-09,14090.0
2023-11-10,14090.0
2023-11-11,14060.0
2023-11-12,14060.0
2023-11-13,14070.0
2023-11-14,14040.0
2023-11-15,14040.0
2023-11-16,14070.0
2023-11-17,14080.0
2023-11-18,14070.0
2023-11-19,14040.0
2023-11-20,14050.0
2023-11-21,14020.0
2023-11-22,14080.0
2023-11-23,14040.0
2023-11-24,14040.0
2023-11-25,14030.0
2023-11-26,14000.0
2023-11-27,14040.0
2023-11-28,14030.0
2023-11-29,14010.0
2023-11-30,14040.0
2023-12-01,14040.0
2023-12-02,14040.0
2023-12-03,14050.0
2023-12-04,14020.0
2023-12-05,14070.0
2023-12-06,14040.0
2023-12-07,14020.0
2023-12-08,14030.0
2023-12-09,14020.0
2023-12-10,14050.0
2023-12-11,14040.0
2023-12-12,14020.0
2023-12-13,14050.0
2023-12-14,14060.0
2023-12-15,14050.0
2023-12-16,14040.0
2023-12-17,14030.0
2023-12-18,13990.0
2023-12-19,14020.0
2023-12-20,14040.0
2023-12-21,13990.0
2023-12-22,14020.0
2023-12-23,14020.0
2023-12-24,13950.0
2023-12-25,14030.0
2023-12-26,14010.0
2023-12-27,14020.0
2023-12-28,14020.0
2023-12-29,14020.0
2023-12-30,14000.0
2023-12-31,14040.0
2024-01-01,14040.0
2024-01-02,14070.0
2024-01-03,14200.0
2024-01-04,14170.0
2024-01-05,14240.0
2024-01-06,14210.0
2024-01-07,14180.0
2024-01-08,14260.0
2024-01-09,14260.0
2024-01-10,14280.0
2024-01-11,14320.0
2024-01-12,14260.0
2024-01-13,14300.0
2024-01-14,14230.0
2024-01-15,14270.0
2024-01-16,14330.0
2024-01-17,14370.0
2024-01-18,14370.0
2024-01-19,14470.0
2024-01-20,14440.0
2024-01-21,14450.0
2024-01-22,14510.0
2024-01-23,14580.0
2024-01-24,14640.0
2024-01-25,14610.0
2024-01-26,14640.0
2024-01-27,14630.0
2024-01-28,14540.0
2024-01-29,14710.0
2024-01-30,14700.0
2024-01-31,14880.0
2024-02-01,14930.0
2024-02-02,15020.0
2024-02-03,15050.0
2024-02-04,15020.0
2024-02-05,15390.0
2024-02-06,15380.0
2024-02-07,15460.0
2024-02-08,15510.0
2024-02-09,14970.0
2024-02-10,15520.0
2024-02-11,15510.0
2024-02-12,16010.0
2024-02-13,16360.0
2024-02-14,16230.0
2024-02-15,16370.0
2024-02-16,16410.0
2024-02-17,16400.0
2024-02-18,16420.0
2024-02-19,16480.0
2024-02-20,16530.0
2024-02-21,16560.0
2024-02-22,16520.0
2024-02-23,16570.0
2024-02-24,16540.0
2024-02-25,16640.0
2024-02-26,16630.0
2024-02-27,16640.0
2024-02-28,16670.0
2024-02-29,16640.0
2024-03-01,16630.0
